Project Name,Project Description,Project Owner Email,Task Title,Task Description,Status,Priority,Assignee Email,Due Date,Start Date
"Digital Sales & Marketing Platform ระบบสำหรับ","พัฒนาหรือจัดหาระบบติดต่อแบบ Omni-Channel (Chat, โทร, Line OA, แอป, Webform) ทำให้ลูกค้าติดต่อ SENA ได้ทุกช่องทางแต่ข้อมูลรวมศูนย์อยู่ที่เดียว ลดปัญหาที่ลูกค้าต้องให้ข้อมูลซ้ำและช่วยให้ทีมงานเห็นประวัติการสนทนาแบบครบถ้วนไม่ว่ามาจากช่องไหน ทำให้ตอบกลับได้เร็วขึ้นและสม่ำเสมอทุกช่องทาง เพิ่มความพึงพอใจและโอกาสปิดการขายอย่างมีนัยสำคัญ อีกทั้งข้อมูลการสื่อสารทั้งหมดจะถูกเชื่อมเข้าสู่ Customer Single View ทำให้ผู้บริหารวิเคราะห์คุณภาพบริการและประสิทธิภาพทีมงานได้แบบ Real-time.",tharab@sena.co.th,"CR - SENA 360 ให้เป็น Agent Mobile Portal","",TODO,MEDIUM,tharab@sena.co.th,2026-12-31,
"30-Day Execution Tracking วงจรประสิทธิภาพ 30 วัน","พัฒนาระบบ IT เพื่อรองรับการดำเนินงานตามวงจรประสิทธิภาพ 30 วัน ที่เชื่อมโยงกระบวนการทำงานตั้งแต่การจองบ้านไปจนถึงการโอนกรรมสิทธิ์แบบ End-to-End รวมข้อมูลและ Workflow จากหลายฝ่ายงานให้ทำงานบนข้อมูลชุดเดียวกันอย่างเป็นระบบ ช่วยติดตามสถานะ ความคืบหน้า และประเด็นสำคัญได้แบบ Real-time เพื่อสนับสนุนการทำงานร่วมกัน ลดการใช้ Excel,Google sheet เพิ่มความถูกต้องและความสะดวกในการทำงาน",tharab@sena.co.th,"พัฒนาระบบสำหรับ Tracking โดยเริ่มตั้งแต่การจองไปจนถึงโอน","",TODO,MEDIUM,tharab@sena.co.th,2026-03-31,
"30-Day Execution Tracking วงจรประสิทธิภาพ 30 วัน","พัฒนาระบบ IT เพื่อรองรับการดำเนินงานตามวงจรประสิทธิภาพ 30 วัน ที่เชื่อมโยงกระบวนการทำงานตั้งแต่การจองบ้านไปจนถึงการโอนกรรมสิทธิ์แบบ End-to-End รวมข้อมูลและ Workflow จากหลายฝ่ายงานให้ทำงานบนข้อมูลชุดเดียวกันอย่างเป็นระบบ ช่วยติดตามสถานะ ความคืบหน้า และประเด็นสำคัญได้แบบ Real-time เพื่อสนับสนุนการทำงานร่วมกัน ลดการใช้ Excel,Google sheet เพิ่มความถูกต้องและความสะดวกในการทำงาน",tharab@sena.co.th,"เชื่อมโยงข้อมูลกับระบบต้นทางที่ User ทำงานทั้งหมด คือ REM,REM RentNex, REM LivNex, FastInspect, SiteMaps, Sale-Kit","",TODO,MEDIUM,tharab@sena.co.th,2026-03-31,
"30-Day Execution Tracking วงจรประสิทธิภาพ 30 วัน","พัฒนาระบบ IT เพื่อรองรับการดำเนินงานตามวงจรประสิทธิภาพ 30 วัน ที่เชื่อมโยงกระบวนการทำงานตั้งแต่การจองบ้านไปจนถึงการโอนกรรมสิทธิ์แบบ End-to-End รวมข้อมูลและ Workflow จากหลายฝ่ายงานให้ทำงานบนข้อมูลชุดเดียวกันอย่างเป็นระบบ ช่วยติดตามสถานะ ความคืบหน้า และประเด็นสำคัญได้แบบ Real-time เพื่อสนับสนุนการทำงานร่วมกัน ลดการใช้ Excel,Google sheet เพิ่มความถูกต้องและความสะดวกในการทำงาน",tharab@sena.co.th,"พัฒนา Module เฉพาะสำหรับบางหน่วยงานที่ไม่ได้มีระบบงานให้สามารถ Update สถานะที่เกี่ยวข้องกับวงจรประสิทธิภาพ 30 วันได้","",TODO,MEDIUM,tharab@sena.co.th,2026-03-31,
"Digital Customer Journey ด้วย SENA360 และ RentNex App","SENA 360 App – แอปสำหรับกระบวนการขายบ้านก่อนโอน รองรับทุกขั้นตอนสำคัญ เช่น Pre-Approve, Bank Approve, Booking, Contract, Inspection, Transfer และ Welcome Box โดยให้ลูกค้าสามารถติดตามสถานะ ส่งข้อมูลสินเชื่อ และอัปโหลดเอกสารต่าง ๆ ผ่านแอปได้ครบถ้วน โดยมี Concept 4 Piillar PILLAR 1: SEAMLESS CUSTOMER JOURNEY ปรับปรุง End-to-End Experience ให้ราบรื่น PILLAR 2: PROCESS AUTOMATION & INTEGRATION เชื่อมโยงระบบและ Automate กระบวนการที่ดำเนินการของบริษัทให้รวดเร็วและถูกต้อง PILLAR 3: NEW BUSINESS MODEL ENABLEMENT รองรับโมเดลธุรกิจใหม่ (LivNex, , BuyNowPayLater) เพื่อรองรับและขยาย Revunue Stream ใหม่ PILLAR 4: DATA-DRIVEN INSIGHT & ENGAGEMENT สร้าง Engagement และใช้ Data เพื่อตัดสินใจ",tharab@sena.co.th,"TOR , จัดซื้อจัดจ้าง","ได้ Vendor พัฒนา Sena 360. และ เริ่มพัฒนา",TODO,MEDIUM,tharab@sena.co.th,2026-03-31,
"Digital Customer Journey ด้วย SENA360 และ RentNex App","SENA 360 App – แอปสำหรับกระบวนการขายบ้านก่อนโอน รองรับทุกขั้นตอนสำคัญ เช่น Pre-Approve, Bank Approve, Booking, Contract, Inspection, Transfer และ Welcome Box โดยให้ลูกค้าสามารถติดตามสถานะ ส่งข้อมูลสินเชื่อ และอัปโหลดเอกสารต่าง ๆ ผ่านแอปได้ครบถ้วน โดยมี Concept 4 Piillar PILLAR 1: SEAMLESS CUSTOMER JOURNEY ปรับปรุง End-to-End Experience ให้ราบรื่น PILLAR 2: PROCESS AUTOMATION & INTEGRATION เชื่อมโยงระบบและ Automate กระบวนการที่ดำเนินการของบริษัทให้รวดเร็วและถูกต้อง PILLAR 3: NEW BUSINESS MODEL ENABLEMENT รองรับโมเดลธุรกิจใหม่ (LivNex, , BuyNowPayLater) เพื่อรองรับและขยาย Revunue Stream ใหม่ PILLAR 4: DATA-DRIVEN INSIGHT & ENGAGEMENT สร้าง Engagement และใช้ Data เพื่อตัดสินใจ",tharab@sena.co.th,"พัฒนาให้รองรับ LIVNEX Journey","เริ่มดำเนินการและมีSprint Report ของงาน",TODO,MEDIUM,tharab@sena.co.th,2026-03-31,
"Digital Customer Journey ด้วย SENA360 และ RentNex App","SENA 360 App – แอปสำหรับกระบวนการขายบ้านก่อนโอน รองรับทุกขั้นตอนสำคัญ เช่น Pre-Approve, Bank Approve, Booking, Contract, Inspection, Transfer และ Welcome Box โดยให้ลูกค้าสามารถติดตามสถานะ ส่งข้อมูลสินเชื่อ และอัปโหลดเอกสารต่าง ๆ ผ่านแอปได้ครบถ้วน โดยมี Concept 4 Piillar PILLAR 1: SEAMLESS CUSTOMER JOURNEY ปรับปรุง End-to-End Experience ให้ราบรื่น PILLAR 2: PROCESS AUTOMATION & INTEGRATION เชื่อมโยงระบบและ Automate กระบวนการที่ดำเนินการของบริษัทให้รวดเร็วและถูกต้อง PILLAR 3: NEW BUSINESS MODEL ENABLEMENT รองรับโมเดลธุรกิจใหม่ (LivNex, , BuyNowPayLater) เพื่อรองรับและขยาย Revunue Stream ใหม่ PILLAR 4: DATA-DRIVEN INSIGHT & ENGAGEMENT สร้าง Engagement และใช้ Data เพื่อตัดสินใจ",tharab@sena.co.th,"พัฒนา API ของระบบภายใน เพื่อเชื่อมโยงกับ ระบบ LIVNEX Application ระบบ REM ระบบ Fastinspect","API Gateway เพื่อรวบรวมการเชื่อมต่อกับระบบงานต่างๆ",TODO,MEDIUM,tharab@sena.co.th,2026-03-31,
"Digital Customer Journey ด้วย SENA360 และ RentNex App","SENA 360 App – แอปสำหรับกระบวนการขายบ้านก่อนโอน รองรับทุกขั้นตอนสำคัญ เช่น Pre-Approve, Bank Approve, Booking, Contract, Inspection, Transfer และ Welcome Box โดยให้ลูกค้าสามารถติดตามสถานะ ส่งข้อมูลสินเชื่อ และอัปโหลดเอกสารต่าง ๆ ผ่านแอปได้ครบถ้วน โดยมี Concept 4 Piillar PILLAR 1: SEAMLESS CUSTOMER JOURNEY ปรับปรุง End-to-End Experience ให้ราบรื่น PILLAR 2: PROCESS AUTOMATION & INTEGRATION เชื่อมโยงระบบและ Automate กระบวนการที่ดำเนินการของบริษัทให้รวดเร็วและถูกต้อง PILLAR 3: NEW BUSINESS MODEL ENABLEMENT รองรับโมเดลธุรกิจใหม่ (LivNex, , BuyNowPayLater) เพื่อรองรับและขยาย Revunue Stream ใหม่ PILLAR 4: DATA-DRIVEN INSIGHT & ENGAGEMENT สร้าง Engagement และใช้ Data เพื่อตัดสินใจ",tharab@sena.co.th,"เชื่อมโยงกับผู้ให้บริการภายนอก ServicePayment gatewary (ธนาคาร , 2C2P)","APP 360 สามารถเชื่อมต่อกับการชำระเงินได้ทุกช่องทาง",TODO,MEDIUM,tharab@sena.co.th,2026-03-31,
"Digital Customer Journey ด้วย SENA360 และ RentNex App","SENA 360 App – แอปสำหรับกระบวนการขายบ้านก่อนโอน รองรับทุกขั้นตอนสำคัญ เช่น Pre-Approve, Bank Approve, Booking, Contract, Inspection, Transfer และ Welcome Box โดยให้ลูกค้าสามารถติดตามสถานะ ส่งข้อมูลสินเชื่อ และอัปโหลดเอกสารต่าง ๆ ผ่านแอปได้ครบถ้วน โดยมี Concept 4 Piillar PILLAR 1: SEAMLESS CUSTOMER JOURNEY ปรับปรุง End-to-End Experience ให้ราบรื่น PILLAR 2: PROCESS AUTOMATION & INTEGRATION เชื่อมโยงระบบและ Automate กระบวนการที่ดำเนินการของบริษัทให้รวดเร็วและถูกต้อง PILLAR 3: NEW BUSINESS MODEL ENABLEMENT รองรับโมเดลธุรกิจใหม่ (LivNex, , BuyNowPayLater) เพื่อรองรับและขยาย Revunue Stream ใหม่ PILLAR 4: DATA-DRIVEN INSIGHT & ENGAGEMENT สร้าง Engagement และใช้ Data เพื่อตัดสินใจ",tharab@sena.co.th,"Golive & Support","APP 360 Revamp Version สามารถใช้งานได้",TODO,MEDIUM,tharab@sena.co.th,2026-09-30,
"Digital Customer Journey ด้วย SENA360 และ RentNex App","SENA 360 App – แอปสำหรับกระบวนการขายบ้านก่อนโอน รองรับทุกขั้นตอนสำคัญ เช่น Pre-Approve, Bank Approve, Booking, Contract, Inspection, Transfer และ Welcome Box โดยให้ลูกค้าสามารถติดตามสถานะ ส่งข้อมูลสินเชื่อ และอัปโหลดเอกสารต่าง ๆ ผ่านแอปได้ครบถ้วน โดยมี Concept 4 Piillar PILLAR 1: SEAMLESS CUSTOMER JOURNEY ปรับปรุง End-to-End Experience ให้ราบรื่น PILLAR 2: PROCESS AUTOMATION & INTEGRATION เชื่อมโยงระบบและ Automate กระบวนการที่ดำเนินการของบริษัทให้รวดเร็วและถูกต้อง PILLAR 3: NEW BUSINESS MODEL ENABLEMENT รองรับโมเดลธุรกิจใหม่ (LivNex, , BuyNowPayLater) เพื่อรองรับและขยาย Revunue Stream ใหม่ PILLAR 4: DATA-DRIVEN INSIGHT & ENGAGEMENT สร้าง Engagement และใช้ Data เพื่อตัดสินใจ",tharab@sena.co.th,"DashBoard & Analytic เชื่อมต่อ BigData SENA","ข้อมูลของระบบงาน สามารถเชื่อมต่อ Big Data ของบริษัท และนำมาวิเคราะห์ได้",TODO,MEDIUM,tharab@sena.co.th,2026-03-31,
"Digital Customer Journey ด้วย SENA360 และ RentNex App","SENA 360 App – แอปสำหรับกระบวนการขายบ้านก่อนโอน รองรับทุกขั้นตอนสำคัญ เช่น Pre-Approve, Bank Approve, Booking, Contract, Inspection, Transfer และ Welcome Box โดยให้ลูกค้าสามารถติดตามสถานะ ส่งข้อมูลสินเชื่อ และอัปโหลดเอกสารต่าง ๆ ผ่านแอปได้ครบถ้วน โดยมี Concept 4 Piillar PILLAR 1: SEAMLESS CUSTOMER JOURNEY ปรับปรุง End-to-End Experience ให้ราบรื่น PILLAR 2: PROCESS AUTOMATION & INTEGRATION เชื่อมโยงระบบและ Automate กระบวนการที่ดำเนินการของบริษัทให้รวดเร็วและถูกต้อง PILLAR 3: NEW BUSINESS MODEL ENABLEMENT รองรับโมเดลธุรกิจใหม่ (LivNex, , BuyNowPayLater) เพื่อรองรับและขยาย Revunue Stream ใหม่ PILLAR 4: DATA-DRIVEN INSIGHT & ENGAGEMENT สร้าง Engagement และใช้ Data เพื่อตัดสินใจ",tharab@sena.co.th,"จัดทำ Application Scope & Requirement เพื่อใช้ในการทำ TOR จัดจ้าง Vendor ผู้พัฒนา App","ได้ Vendor พัฒนา SENA RentNex และ เริ่มพัฒนา",TODO,MEDIUM,tharab@sena.co.th,2026-03-31,
"Digital Customer Journey ด้วย SENA360 และ RentNex App","SENA 360 App – แอปสำหรับกระบวนการขายบ้านก่อนโอน รองรับทุกขั้นตอนสำคัญ เช่น Pre-Approve, Bank Approve, Booking, Contract, Inspection, Transfer และ Welcome Box โดยให้ลูกค้าสามารถติดตามสถานะ ส่งข้อมูลสินเชื่อ และอัปโหลดเอกสารต่าง ๆ ผ่านแอปได้ครบถ้วน โดยมี Concept 4 Piillar PILLAR 1: SEAMLESS CUSTOMER JOURNEY ปรับปรุง End-to-End Experience ให้ราบรื่น PILLAR 2: PROCESS AUTOMATION & INTEGRATION เชื่อมโยงระบบและ Automate กระบวนการที่ดำเนินการของบริษัทให้รวดเร็วและถูกต้อง PILLAR 3: NEW BUSINESS MODEL ENABLEMENT รองรับโมเดลธุรกิจใหม่ (LivNex, , BuyNowPayLater) เพื่อรองรับและขยาย Revunue Stream ใหม่ PILLAR 4: DATA-DRIVEN INSIGHT & ENGAGEMENT สร้าง Engagement และใช้ Data เพื่อตัดสินใจ",tharab@sena.co.th,"Design Work Flow UX/UI ฐานข้อมูล","โครงสร้างและหน้าตาเมนู และ Flow การใช้งานแต่ละเมนูของระบบ Rentnex",TODO,MEDIUM,tharab@sena.co.th,2026-03-31,
